id,uid,date,attendance,time_valid,neutral_site,conference_competition,play_by_play_available,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,week,groups_id,groups_name,groups_short_name,groups_is_conference
401520308,s:20~l:23~e:401520308~c:401520308,2023-10-07T04:00Z,0,False,False,True,False,False,2023-10-07T04:00Z,,,1,STD,3974,Vaught-Hemingway Stadium,Oxford,MS,64038.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/7 - TBD,TBD,4,145,s:20~l:23~t:145,Ole Miss,Rebels,MISS,Ole Miss Rebels,Rebels,001148,00205b,True,3974,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,8,0,,8,s:20~l:23~t:8,Arkansas,Razorbacks,ARK,Arkansas Razorbacks,Razorbacks,a41f35,222222,True,3887,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,8,0,,401520308,2023,2,6,8,Southeastern Conference,SEC,True
401520309,s:20~l:23~e:401520309~c:401520309,2023-10-07T04:00Z,0,False,False,False,False,False,2023-10-07T04:00Z,,,1,STD,3895,Rice Stadium,Houston,TX,47000.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/7 - TBD,TBD,4,242,s:20~l:23~t:242,Rice,Owls,RICE,Rice Owls,Owls,d1d5d8,003d7d,True,3895,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png,151,0,,41,s:20~l:23~t:41,UConn,Huskies,CONN,UConn Huskies,Huskies,0c2340,f1f2f3,True,3892,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,18,0,,401520309,2023,2,6,,,,
401520311,s:20~l:23~e:401520311~c:401520311,2023-10-07T04:00Z,0,False,False,True,False,False,2023-10-07T04:00Z,,,1,STD,347,Camp Randall Stadium,Madison,WI,75822.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/7 - TBD,TBD,4,275,s:20~l:23~t:275,Wisconsin,Badgers,WISC,Wisconsin Badgers,Badgers,A00001,f7f7f7,True,347,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,5,0,,164,s:20~l:23~t:164,Rutgers,Scarlet Knights,RUTG,Rutgers Scarlet Knights,Scarlet Knights,d21034,ffffff,True,3754,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,5,0,,401520311,2023,2,6,5,Big Ten Conference,Big Ten,True
401524025,s:20~l:23~e:401524025~c:401524025,2023-10-07T04:00Z,0,False,False,True,False,False,2023-10-07T04:00Z,,,1,STD,477,Los Angeles Memorial Coliseum,Los Angeles,CA,77500.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/7 - TBD,TBD,4,30,s:20~l:23~t:30,USC,Trojans,USC,USC Trojans,Trojans,9e2237,ffcc00,True,477,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,9,0,,12,s:20~l:23~t:12,Arizona,Wildcats,ARIZ,Arizona Wildcats,Wildcats,0c234b,ab0520,True,3619,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,9,0,,401524025,2023,2,6,9,Pac-12 Conference,Pac-12,True
401524026,s:20~l:23~e:401524026~c:401524026,2023-10-07T04:00Z,0,False,False,True,False,False,2023-10-07T04:00Z,,,1,STD,3947,Sun Devil Stadium,Tempe,AZ,53599.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/7 - TBD,TBD,4,9,s:20~l:23~t:9,Arizona State,Sun Devils,ASU,Arizona State Sun Devils,Sun Devils,942139,f1f2f3,True,3947,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,9,0,,38,s:20~l:23~t:38,Colorado,Buffaloes,COLO,Colorado Buffaloes,Buffaloes,000000,cfb87c,True,3726,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,9,0,,401524026,2023,2,6,9,Pac-12 Conference,Pac-12,True
401524027,s:20~l:23~e:401524027~c:401524027,2023-10-07T04:00Z,0,False,False,True,False,False,2023-10-07T04:00Z,,,1,STD,3831,California Memorial Stadium,Berkeley,CA,62467.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/7 - TBD,TBD,4,25,s:20~l:23~t:25,California,Golden Bears,CAL,California Golden Bears,Golden Bears,031522,ffc423,True,3831,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,9,0,,204,s:20~l:23~t:204,Oregon State,Beavers,ORST,Oregon State Beavers,Beavers,d73f09,000000,True,3893,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,9,0,,401524027,2023,2,6,9,Pac-12 Conference,Pac-12,True
401524028,s:20~l:23~e:401524028~c:401524028,2023-10-07T04:00Z,0,False,False,True,False,False,2023-10-07T04:00Z,,,1,STD,1056,Rose Bowl,Pasadena,CA,88565.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/7 - TBD,TBD,4,26,s:20~l:23~t:26,UCLA,Bruins,UCLA,UCLA Bruins,Bruins,2774ae,f2a900,True,1056,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,9,0,,265,s:20~l:23~t:265,Washington State,Cougars,WSU,Washington State Cougars,Cougars,94022a,6a747c,True,3820,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png,9,0,,401524028,2023,2,6,9,Pac-12 Conference,Pac-12,True
401525439,s:20~l:23~e:401525439~c:401525439,2023-10-07T04:00Z,0,False,False,False,False,False,2023-10-07T04:00Z,,,1,STD,3873,Cardinal Stadium,Louisville,KY,60000.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/7 - TBD,TBD,4,97,s:20~l:23~t:97,Louisville,Cardinals,LOU,Louisville Cardinals,Cardinals,c9001f,000000,True,3873,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,1,0,,87,s:20~l:23~t:87,Notre Dame,Fighting Irish,ND,Notre Dame Fighting Irish,Fighting Irish,0c2340,c99700,True,3855,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,18,0,,401525439,2023,2,6,,,,
401525517,s:20~l:23~e:401525517~c:401525517,2023-10-07T04:00Z,0,False,False,True,False,False,2023-10-07T04:00Z,,,1,STD,3836,"Memorial Stadium (Clemson, SC)",Clemson,SC,81500.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/7 - TBD,TBD,4,228,s:20~l:23~t:228,Clemson,Tigers,CLEM,Clemson Tigers,Tigers,F66733,522d80,True,3836,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,1,0,,154,s:20~l:23~t:154,Wake Forest,Demon Deacons,WAKE,Wake Forest Demon Deacons,Demon Deacons,9E7E38,000000,True,3630,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,1,0,,401525517,2023,2,6,1,Atlantic Coast Conference,ACC,True
401525518,s:20~l:23~e:401525518~c:401525518,2023-10-07T04:00Z,0,False,False,True,False,False,2023-10-07T04:00Z,,,1,STD,3697,Doak Campbell Stadium,Tallahassee,FL,79560.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/7 - TBD,TBD,4,52,s:20~l:23~t:52,Florida State,Seminoles,FSU,Florida State Seminoles,Seminoles,782F40,ceb888,True,3697,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,1,0,,259,s:20~l:23~t:259,Virginia Tech,Hokies,VT,Virginia Tech Hokies,Hokies,630031,cf4520,True,3799,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,1,0,,401525518,2023,2,6,1,Atlantic Coast Conference,ACC,True
