id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference
223340036,s:20~l:23~e:223340036~c:223340036,2002-11-30T20:00Z,28877,True,False,True,False,[],2002-11-30T20:00Z,1,STD,3761,Hughes Stadium (CO),Fort Collins,CO,0.0,False,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,36,s:20~l:23~t:36,Colorado State,Rams,CSU,Colorado State Rams,Rams,004537,ffc425,True,3761,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png,17,2439,s:20~l:23~t:2439,UNLV,Rebels,UNLV,UNLV Rebels,Rebels,000000,c2c4c6,True,6501,https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,17,223340036,2002,2,,,,,
223340221,s:20~l:23~e:223340221~c:223340221,2002-11-30T18:00Z,66731,True,False,True,False,[],2002-11-30T18:00Z,1,STD,3752,Acrisure Stadium,Pittsburgh,PA,68400.0,False,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,221,s:20~l:23~t:221,Pittsburgh,Panthers,PITT,Pittsburgh Panthers,Panthers,003263,231f20,True,3752,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,10,277,s:20~l:23~t:277,West Virginia,Mountaineers,WVU,West Virginia Mountaineers,Mountaineers,FFC600,eaaa00,True,3842,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,10,223340221,2002,2,,10,Big East Conference,Big East,True
223340259,s:20~l:23~e:223340259~c:223340259,2002-11-30T20:30Z,65097,True,False,False,False,[],2002-11-30T20:30Z,1,STD,3799,Lane Stadium,Blacksburg,VA,65632.0,False,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,259,s:20~l:23~t:259,Virginia Tech,Hokies,VT,Virginia Tech Hokies,Hokies,74232D,c2c1ba,True,3799,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,10,258,s:20~l:23~t:258,Virginia,Cavaliers,UVA,Virginia Cavaliers,Cavaliers,f84c1e,ffffff,True,3923,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,1,223340259,2002,2,,,,,
223340120,s:20~l:23~e:223340120~c:223340120,2002-11-30T17:00Z,39066,True,False,True,False,[],2002-11-30T17:00Z,1,STD,3665,Maryland Stadium,College Park,MD,51802.0,False,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,120,s:20~l:23~t:120,Maryland,Terrapins,MD,Maryland Terrapins,Terrapins,D5002B,ffcd00,True,3665,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,5,154,s:20~l:23~t:154,Wake Forest,Demon Deacons,WAKE,Wake Forest Demon Deacons,Demon Deacons,9E7E38,000000,True,3630,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,1,223340120,2002,2,,,,,
223340103,s:20~l:23~e:223340103~c:223340103,2002-11-30T17:00Z,33786,True,False,True,False,[],2002-11-30T17:00Z,1,STD,3615,"Alumni Stadium (Chestnut Hill, MA)",Chestnut Hill,MA,44500.0,False,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,103,s:20~l:23~t:103,Boston College,Eagles,BC,Boston College Eagles,Eagles,88001a,a39161,True,3615,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,10,164,s:20~l:23~t:164,Rutgers,Scarlet Knights,RUTG,Rutgers Scarlet Knights,Scarlet Knights,d21034,ffffff,True,3754,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,10,223340103,2002,2,,10,Big East Conference,Big East,True
223342633,s:20~l:23~e:223342633~c:223342633,2002-11-30T17:30Z,105462,True,False,True,False,[],2002-11-30T17:30Z,1,STD,3853,Neyland Stadium,Knoxville,TN,102455.0,False,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,2633,s:20~l:23~t:2633,Tennessee,Volunteers,TENN,Tennessee Volunteers,Volunteers,EE9627,ffffff,True,3853,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,8,96,s:20~l:23~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Wildcats,005DAA,ffffff,True,3683,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,8,223342633,2002,2,,8,Southeastern Conference,SEC,True
223342116,s:20~l:23~e:223342116~c:223342116,2002-11-30T18:00Z,12462,True,False,True,False,[],2002-11-30T18:00Z,1,STD,,,,,,,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,2116,s:20~l:23~t:2116,UCF,Knights,UCF,UCF Knights,Knights,000000,231f20,True,3652,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,15,195,s:20~l:23~t:195,Ohio,Bobcats,OHIO,Ohio Bobcats,Bobcats,295A29,e4bb85,True,3876,https://a.espncdn.com/i/teamlogos/ncaa/500/195.png,15,223342116,2002,2,,15,Mid-American Conference,MAC,True
223342132,s:20~l:23~e:223342132~c:223342132,2002-11-30T18:00Z,9606,True,False,True,False,[],2002-11-30T18:00Z,1,STD,3854,Nippert Stadium,Cincinnati,OH,37978.0,False,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,2132,s:20~l:23~t:2132,Cincinnati,Bearcats,CIN,Cincinnati Bearcats,Bearcats,000000,717073,True,3854,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,151,5,s:20~l:23~t:5,UAB,Blazers,UAB,UAB Blazers,Blazers,003b28,ffc845,True,7221,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png,12,223342132,2002,2,,,,,
223340167,s:20~l:23~e:223340167~c:223340167,2002-11-30T19:00Z,26115,True,False,True,False,[],2002-11-30T19:00Z,1,STD,3971,University Stadium (NM),Albuquerque,NM,39224.0,False,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,167,s:20~l:23~t:167,New Mexico,Lobos,UNM,New Mexico Lobos,Lobos,000000,231f20,True,3971,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png,17,2751,s:20~l:23~t:2751,Wyoming,Cowboys,WYO,Wyoming Cowboys,Cowboys,533B22,ffffff,True,3984,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,17,223340167,2002,2,,,,,
223340248,s:20~l:23~e:223340248~c:223340248,2002-11-30T20:00Z,11048,True,False,True,False,[],2002-11-30T20:00Z,1,STD,453,Robertson Stadium,Houston,TX,0.0,False,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,248,s:20~l:23~t:248,Houston,Cougars,HOU,Houston Cougars,Cougars,C90822,231f20,True,453,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,151,97,s:20~l:23~t:97,Louisville,Cardinals,LOU,Louisville Cardinals,Cardinals,ad000a,cccccc,True,3873,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,1,223340248,2002,2,,,,,
